v,v_eff,m,t
"[[5.98699193e-06]
 [7.56496084e-05]
 [9.27824016e-08]
 [4.42413560e-05]
 [1.12824974e-04]
 [1.11722813e-05]
 [6.79629106e-07]]","[[5.98699193e-06]
 [7.56496084e-05]
 [9.27824016e-08]
 [4.42413560e-05]
 [1.12824974e-04]
 [1.11722813e-05]
 [6.79629106e-07]]","[[-0.0073405 ]
 [ 0.02609303]
 [-0.00091381]
 [-0.01995425]
 [-0.03186573]
 [-0.01002749]
 [-0.00247319]]",1
"[[5.81232670e-06]
 [6.88985361e-05]
 [1.02797581e-07]
 [3.96059409e-05]
 [1.01776303e-04]
 [1.09036638e-05]
 [4.78699383e-07]]","[[5.81232670e-06]
 [6.88985361e-05]
 [1.02797581e-07]
 [3.96059409e-05]
 [1.01776303e-04]
 [1.09036638e-05]
 [4.78699383e-07]]","[[-0.00723263]
 [ 0.02490154]
 [-0.00096186]
 [-0.01887998]
 [-0.03026527]
 [-0.00990621]
 [-0.00207564]]",1
"[[5.56434917e-06]
 [6.20900315e-05]
 [1.12048472e-07]
 [3.50803257e-05]
 [9.08459841e-05]
 [1.04926216e-05]
 [3.23546646e-07]]","[[5.56434917e-06]
 [6.20900315e-05]
 [1.12048472e-07]
 [3.50803257e-05]
 [9.08459841e-05]
 [1.04926216e-05]
 [3.23546646e-07]]","[[-0.00707666]
 [ 0.02363917]
 [-0.00100421]
 [-0.01776859]
 [-0.02859395]
 [-0.00971769]
 [-0.00170643]]",1
"[[5.24538738e-06]
 [5.52734270e-05]
 [1.19989239e-07]
 [3.06925307e-05]
 [8.01061911e-05]
 [9.94123702e-06]
 [2.07626525e-07]]","[[5.24538738e-06]
 [5.52734270e-05]
 [1.19989239e-07]
 [3.06925307e-05]
 [8.01061911e-05]
 [9.94123702e-06]
 [2.07626525e-07]]","[[-0.00687084]
 [ 0.02230383]
 [-0.00103918]
 [-0.01662025]
 [-0.02685062]
 [-0.00945892]
 [-0.00136698]]",1
"[[4.86000452e-06]
 [4.85068535e-05]
 [1.26002099e-07]
 [2.64727825e-05]
 [6.96382384e-05]
 [9.25609416e-06]
 [1.24537664e-07]]","[[4.86000452e-06]
 [4.85068535e-05]
 [1.26002099e-07]
 [2.64727825e-05]
 [6.96382384e-05]
 [9.25609416e-06]
 [1.24537664e-07]]","[[-0.00661363]
 [ 0.02089406]
 [-0.0010649 ]
 [-0.01543551]
 [-0.02503486]
 [-0.00912715]
 [-0.0010587 ]]",1
"[[4.41519316e-06]
 [4.18564322e-05]
 [1.29427137e-07]
 [2.24526575e-05]
 [5.95308036e-05]
 [8.44878415e-06]
 [6.81050054e-08]]","[[4.41519316e-06]
 [4.18564322e-05]
 [1.29427137e-07]
 [2.24526575e-05]
 [5.95308036e-05]
 [8.44878415e-06]
 [6.81050054e-08]]","[[-0.00630371]
 [ 0.01940896]
 [-0.00107928]
 [-0.01421527]
 [-0.02314686]
 [-0.00872004]
 [-0.00078291]]",1
"[[3.91958644e-06]
 [3.53852335e-05]
 [1.29592220e-07]
 [1.86584461e-05]
 [4.98632106e-05]
 [7.53459984e-06]
 [3.24578469e-08]]","[[3.91958644e-06]
 [3.53852335e-05]
 [1.29592220e-07]
 [1.86584461e-05]
 [4.98632106e-05]
 [7.53459984e-06]
 [3.24578469e-08]]","[[-0.00593938]
 [ 0.01784565]
 [-0.00107997]
 [-0.01295863]
 [-0.02118417]
 [-0.00823477]
 [-0.00054048]]",1
"[[3.38535657e-06]
 [2.91758305e-05]
 [1.25902886e-07]
 [1.51247503e-05]
 [4.07394519e-05]
 [6.53603580e-06]
 [1.22941515e-08]]","[[3.38535657e-06]
 [2.91758305e-05]
 [1.25902886e-07]
 [1.51247503e-05]
 [4.07394519e-05]
 [6.53603580e-06]
 [1.22941515e-08]]","[[-0.0055198 ]
 [ 0.0162044 ]
 [-0.00106448]
 [-0.01166717]
 [-0.01914824]
 [-0.0076697 ]
 [-0.00033264]]",1
"[[2.82873177e-06]
 [2.33289371e-05]
 [1.17971807e-07]
 [1.18925472e-05]
 [3.22845351e-05]
 [5.48398927e-06]
 [2.86798634e-09]]","[[2.82873177e-06]
 [2.33289371e-05]
 [1.17971807e-07]
 [1.18925472e-05]
 [3.22845351e-05]
 [5.48398927e-06]
 [2.86798634e-09]]","[[-0.00504565]
 [ 0.01449001]
 [-0.00103041]
 [-0.01034567]
 [-0.01704584]
 [-0.00702538]
 [-0.00016066]]",1
"[[2.26297279e-06]
 [1.78973110e-05]
 [1.05524574e-07]
 [8.97314153e-06]
 [2.45498041e-05]
 [4.40466435e-06]
 [6.62558009e-11]]","[[2.26297279e-06]
 [1.78973110e-05]
 [1.05524574e-07]
 [8.97314153e-06]
 [2.45498041e-05]
 [4.40466435e-06]
 [6.62558009e-11]]","[[-4.51295414e-03]
 [ 1.26915641e-02]
 [-9.74536385e-04]
 [-8.98656073e-03]
 [-1.48643277e-02]
 [-6.29618767e-03]
 [-2.44192999e-05]]",1
