v,v_eff,m,t
"[[4.09608779e-05]
 [1.53493256e-04]
 [3.45392843e-07]
 [1.34946476e-05]
 [4.47448642e-05]]","[[4.09608779e-05]
 [1.53493256e-04]
 [3.45392843e-07]
 [1.34946476e-05]
 [4.47448642e-05]]","[[-0.01920021]
 [-0.03716772]
 [ 0.0017631 ]
 [-0.01102052]
 [ 0.02006748]]",1
"[[3.08687799e-05]
 [1.15482070e-04]
 [2.30961744e-07]
 [9.93321115e-06]
 [3.38870427e-05]]","[[3.08687799e-05]
 [1.15482070e-04]
 [2.30961744e-07]
 [9.93321115e-06]
 [3.38870427e-05]]","[[-0.0166679 ]
 [-0.03223878]
 [ 0.00144175]
 [-0.0094551 ]
 [ 0.01746377]]",1
"[[2.24314503e-05]
 [8.37672091e-05]
 [1.47780748e-07]
 [7.04349942e-06]
 [2.47495417e-05]]","[[2.24314503e-05]
 [8.37672091e-05]
 [1.47780748e-07]
 [7.04349942e-06]
 [2.47495417e-05]]","[[-0.01420856]
 [-0.02745733]
 [ 0.00115327]
 [-0.00796188]
 [ 0.01492467]]",1
"[[1.55690709e-05]
 [5.80312487e-05]
 [8.96018152e-08]
 [4.76655668e-06]
 [1.72667850e-05]]","[[1.55690709e-05]
 [5.80312487e-05]
 [8.96018152e-08]
 [4.76655668e-06]
 [1.72667850e-05]]","[[-0.0118373 ]
 [-0.02285347]
 [ 0.00089801]
 [-0.00654973]
 [ 0.012466  ]]",1
"[[1.00811229e-05]
 [3.75002213e-05]
 [5.02261070e-08]
 [3.00608413e-06]
 [1.12397140e-05]]","[[1.00811229e-05]
 [3.75002213e-05]
 [5.02261070e-08]
 [3.00608413e-06]
 [1.12397140e-05]]","[[-0.00952524]
 [-0.01837123]
 [ 0.00067234]
 [-0.00520142]
 [ 0.0100577 ]]",1
"[[5.91961521e-06]
 [2.19741339e-05]
 [2.52998359e-08]
 [1.71790557e-06]
 [6.63552691e-06]]","[[5.91961521e-06]
 [2.19741339e-05]
 [2.52998359e-08]
 [1.71790557e-06]
 [6.63552691e-06]]","[[-0.00729908]
 [-0.01406297]
 [ 0.00047718]
 [-0.00393207]
 [ 0.00772785]]",1
"[[2.93398503e-06]
 [1.08673878e-05]
 [1.06472163e-08]
 [8.27866208e-07]
 [3.30692091e-06]]","[[2.93398503e-06]
 [1.08673878e-05]
 [1.06472163e-08]
 [8.27866208e-07]
 [3.30692091e-06]]","[[-0.00513866]
 [-0.00988972]
 [ 0.00030956]
 [-0.00272961]
 [ 0.00545548]]",1
"[[1.03738887e-06]
 [3.83378594e-06]
 [3.16266929e-09]
 [2.84376272e-07]
 [1.17578429e-06]]","[[1.03738887e-06]
 [3.83378594e-06]
 [3.16266929e-09]
 [2.84376272e-07]
 [1.17578429e-06]]","[[-0.00305557]
 [-0.00587402]
 [ 0.00016871]
 [-0.00159981]
 [ 0.00325301]]",1
"[[1.17106487e-07]
 [4.31756083e-07]
 [2.96419547e-10]
 [3.11544577e-08]
 [1.33486703e-07]]","[[1.17106487e-07]
 [4.31756083e-07]
 [2.96419547e-10]
 [3.11544577e-08]
 [1.33486703e-07]]","[[-1.02662475e-03]
 [-1.97124447e-03]
 [ 5.16505172e-05]
 [-5.29518762e-04]
 [ 1.09607496e-03]]",1
"[[8.70341654e-08]
 [3.20138229e-07]
 [1.81700086e-10]
 [2.24673151e-08]
 [9.97720734e-08]]","[[8.70341654e-08]
 [3.20138229e-07]
 [1.81700086e-10]
 [2.24673151e-08]
 [9.97720734e-08]]","[[ 8.85046603e-04]
 [ 1.69742277e-03]
 [-4.04388523e-05]
 [ 4.49673032e-04]
 [-9.47601531e-04]]",1
