v,v_eff,m,t
"[[4.01971679e-06]
 [9.10365442e-06]
 [6.97897467e-08]
 [1.85134795e-05]
 [2.50293527e-05]
 [1.00124593e-06]
 [3.54740087e-08]
 [1.73563268e-06]
 [2.64980048e-05]]","[[4.01971679e-06]
 [9.10365442e-06]
 [6.97897467e-08]
 [1.85134795e-05]
 [2.50293527e-05]
 [1.00124593e-06]
 [3.54740087e-08]
 [1.73563268e-06]
 [2.64980048e-05]]","[[-0.00601477]
 [ 0.00905168]
 [ 0.00079253]
 [-0.01290819]
 [-0.0150088 ]
 [-0.00300187]
 [ 0.00056504]
 [ 0.0039523 ]
 [-0.01544286]]",1
"[[1.84551164e-06]
 [4.06188380e-06]
 [2.75519023e-08]
 [8.34635510e-06]
 [1.12312637e-05]
 [4.60012672e-07]
 [1.97694085e-08]
 [7.67655393e-07]
 [1.19342151e-05]]","[[1.84551164e-06]
 [4.06188380e-06]
 [2.75519023e-08]
 [8.34635510e-06]
 [1.12312637e-05]
 [4.60012672e-07]
 [1.97694085e-08]
 [7.67655393e-07]
 [1.19342151e-05]]","[[-0.00407549]
 [ 0.00604623]
 [ 0.00049796]
 [-0.00866702]
 [-0.01005392]
 [-0.00203473]
 [ 0.00042181]
 [ 0.00262848]
 [-0.01036378]]",1
"[[5.18080359e-07]
 [1.10717039e-06]
 [6.59996885e-09]
 [2.29971232e-06]
 [3.07959897e-06]
 [1.29189061e-07]
 [6.63846944e-09]
 [2.07379742e-07]
 [3.28508395e-06]]","[[5.18080359e-07]
 [1.10717039e-06]
 [6.59996885e-09]
 [2.29971232e-06]
 [3.07959897e-06]
 [1.29189061e-07]
 [6.63846944e-09]
 [2.07379742e-07]
 [3.28508395e-06]]","[[-0.00215933]
 [ 0.00315666]
 [ 0.00024372]
 [-0.00454944]
 [-0.00526464]
 [-0.00107829]
 [ 0.00024443]
 [ 0.00136617]
 [-0.00543744]]",1
"[[8.14015691e-09]
 [1.68780950e-08]
 [8.78535898e-11]
 [3.54526288e-08]
 [4.72373423e-08]
 [2.03006645e-09]
 [1.23130128e-10]
 [3.13270003e-09]
 [5.05945723e-08]]","[[8.14015691e-09]
 [1.68780950e-08]
 [8.78535898e-11]
 [3.54526288e-08]
 [4.72373423e-08]
 [2.03006645e-09]
 [1.23130128e-10]
 [3.13270003e-09]
 [5.05945723e-08]]","[[-2.70668454e-04]
 [ 3.89747168e-04]
 [ 2.81190737e-05]
 [-5.64866054e-04]
 [-6.52024601e-04]
 [-1.35168776e-04]
 [ 3.32892047e-05]
 [ 1.67911585e-04]
 [-6.74797118e-04]]",1
"[[2.80200007e-07]
 [5.63115886e-07]
 [2.56382301e-09]
 [1.19687227e-06]
 [1.58632689e-06]
 [6.98453433e-08]
 [4.94895899e-09]
 [1.03589889e-07]
 [1.70641108e-06]]","[[2.80200007e-07]
 [5.63115886e-07]
 [2.56382301e-09]
 [1.19687227e-06]
 [1.58632689e-06]
 [6.98453433e-08]
 [4.94895899e-09]
 [1.03589889e-07]
 [1.70641108e-06]]","[[ 0.00158802]
 [-0.00225123]
 [-0.0001519 ]
 [ 0.00328205]
 [ 0.00377848]
 [ 0.00079285]
 [-0.00021105]
 [-0.00096556]
 [ 0.00391889]]",1
"[[1.29611927e-06]
 [2.53693065e-06]
 [1.20998213e-08]
 [5.43980480e-06]
 [7.17442999e-06]
 [3.22530882e-07]
 [2.58747691e-08]
 [4.69048551e-07]
 [7.75703492e-06]]","[[1.29611927e-06]
 [2.53693065e-06]
 [1.20998213e-08]
 [5.43980480e-06]
 [7.17442999e-06]
 [3.22530882e-07]
 [2.58747691e-08]
 [4.69048551e-07]
 [7.75703492e-06]]","[[ 0.00341542]
 [-0.00477832]
 [-0.00033   ]
 [ 0.00699702]
 [ 0.00803554]
 [ 0.00170375]
 [-0.00048257]
 [-0.00205461]
 [ 0.00835544]]",1
"[[3.01722342e-06]
 [5.74760762e-06]
 [2.85301446e-08]
 [1.24375556e-05]
 [1.63200791e-05]
 [7.49650586e-07]
 [6.77061982e-08]
 [1.06801278e-06]
 [1.77379385e-05]]","[[3.01722342e-06]
 [5.74760762e-06]
 [2.85301446e-08]
 [1.24375556e-05]
 [1.63200791e-05]
 [7.49650586e-07]
 [6.77061982e-08]
 [1.06801278e-06]
 [1.77379385e-05]]","[[ 0.00521105]
 [-0.00719225]
 [-0.00050673]
 [ 0.01058008]
 [ 0.01211944]
 [ 0.00259747]
 [-0.00078061]
 [-0.00310034]
 [ 0.01263493]]",1
"[[5.40369234e-06]
 [1.00122635e-05]
 [5.13870575e-08]
 [2.18711744e-05]
 [2.85482957e-05]
 [1.34079936e-06]
 [1.35546226e-07]
 [1.86979455e-06]
 [3.11944532e-05]]","[[5.40369234e-06]
 [1.00122635e-05]
 [5.13870575e-08]
 [2.18711744e-05]
 [2.85482957e-05]
 [1.34079936e-06]
 [1.35546226e-07]
 [1.86979455e-06]
 [3.11944532e-05]]","[[ 0.00697375]
 [-0.00949265]
 [-0.00068006]
 [ 0.01402999]
 [ 0.01602918]
 [ 0.00347379]
 [-0.0011045 ]
 [-0.00410221]
 [ 0.0167556 ]]",1
"[[8.43352369e-06]
 [1.51893071e-05]
 [8.01014181e-08]
 [3.35036155e-05]
 [4.34966508e-05]
 [2.09034509e-06]
 [2.35329318e-07]
 [2.85081760e-06]
 [4.77877319e-05]]","[[8.43352369e-06]
 [1.51893071e-05]
 [8.01014181e-08]
 [3.35036155e-05]
 [4.34966508e-05]
 [2.09034509e-06]
 [2.35329318e-07]
 [2.85081760e-06]
 [4.77877319e-05]]","[[ 0.00871216]
 [-0.01169204]
 [-0.00084907]
 [ 0.01736469]
 [ 0.0197856 ]
 [ 0.00433741]
 [-0.00145532]
 [-0.00506531]
 [ 0.0207386 ]]",1
"[[1.20150220e-05]
 [2.10341177e-05]
 [1.13437724e-07]
 [4.68506545e-05]
 [6.04949245e-05]
 [2.97577690e-06]
 [3.70562377e-07]
 [3.96779972e-06]
 [6.68262397e-05]]","[[1.20150220e-05]
 [2.10341177e-05]
 [1.13437724e-07]
 [4.68506545e-05]
 [6.04949245e-05]
 [2.97577690e-06]
 [3.70562377e-07]
 [3.96779972e-06]
 [6.68262397e-05]]","[[ 0.01039881]
 [-0.01375889]
 [-0.00101042]
 [ 0.02053426]
 [ 0.02333354]
 [ 0.00517513]
 [-0.00182622]
 [-0.0059758 ]
 [ 0.0245242 ]]",1
